,Algorithm,AUC,AUC +/-,Accuracy,Accuracy +/-,Precision,Precision +/-,Recall,Recall +/-,F1,F1 +/-
1,ARF,0.9631484363533279,0.016886725093284153,0.9168844745669377,0.036997836745091925,0.8974637989859643,0.03023797993285837,0.8968458549412957,0.043771585870271267,0.8970029188729656,0.03519867103695559
2,KNN,0.9534650009428407,0.02595220016512321,0.9160629255975126,0.03824947767756584,0.8942872879303854,0.05280235914358276,0.9013727149657921,0.03433485492740576,0.8972281633941455,0.03513834304486765
3,HAT,0.8817594601247837,0.1345557721604411,0.8590378060825584,0.1493187717352763,0.8480050031491712,0.124537717588977,0.7883098690610088,0.26077815748116356,0.8099812983767614,0.2080439298898442
4,GNB,0.8715687039760802,0.15336211411641648,0.8538587798121757,0.16305130547269298,0.8406089867581878,0.13203744277918525,0.7733320596292838,0.3147687064564845,0.7907669766133394,0.25363320985630605
