,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,0.1219017516100122,0.0002248013465833974,9.024151523536852e-06,0.0002248013465833974,1.2422969602999517e-06
2,DT,0.5924077270206085,0.029814171912255317,0.02673402778415656,0.029814171912255317,0.02251877562382913
3,GNB,0.0027006890884472235,6.441340850492231e-23,1.3166744847926703e-05,6.441340850492231e-23,1.9737377103839954e-21
4,MLP,0.0004412316388087151,1.6117842660637334e-09,0.001179077717644341,1.6117842660637334e-09,0.00015195567144181952
5,NC,5.506396686130268e-32,2.1234449168233941e-69,1.734427941102878e-36,2.1234449168233941e-69,1.2440671833010963e-62
6,RF,3.5661508044241895e-06,0.6882269788042743,0.015019106985741756,0.6882269788042743,0.0007378250970202828
7,SVC,2.9993812211558757e-06,0.08212844605740403,0.0002064856603983112,0.08212844605740403,7.188998831427897e-05
8,XGB,1.169910382438093e-31,7.792417846817283e-29,5.750798794845052e-26,7.792417846817283e-29,3.909392417218249e-28
