,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,0.696556517665722,4.994819145140616e-05,0.0012705224877735436,4.994819145140616e-05,0.0074540583033834516
2,DT,0.22513162919561092,2.1296371258362555e-12,0.36240269956568305,2.1296371258362555e-12,4.836483415575453e-10
3,KNN,0.0027006890884472235,6.441340850492231e-23,1.3166744847926703e-05,6.441340850492231e-23,1.9737377103839954e-21
4,MLP,3.398020616332433e-09,1.0218097455014946e-45,9.306845046209842e-16,1.0218097455014946e-45,3.488192452350982e-36
5,NC,1.3278456042695312e-24,4.1570592556594797e-23,5.513763097839614e-31,4.1570592556594797e-23,2.573735745659012e-18
6,RF,0.8556884430683204,1.624071265402483e-37,2.6032266939887096e-05,1.624071265402483e-37,1.4428982950186066e-23
7,SVC,0.23445110663404622,2.5947886888519795e-27,0.3343683702051473,2.5947886888519795e-27,7.144473075205783e-11
8,XGB,5.075262228296292e-41,1.2872118696648379e-72,1.6006654266861948e-45,1.2872118696648379e-72,3.32841184979017e-69
