,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,0.7221927397212897,8.96982430963412e-09,0.0073582866914758994,8.96982430963412e-09,0.0021476466950033275
2,DT,0.1176940149494117,2.487065488955576e-06,0.7533049373726503,2.487065488955576e-06,0.4258757791696579
3,GNB,0.23445110663404622,2.5947886888519795e-27,0.3343683702051473,2.5947886888519795e-27,7.144473075205783e-11
4,KNN,2.9993812211558757e-06,0.08212844605740403,0.0002064856603983112,0.08212844605740403,7.188998831427897e-05
5,MLP,7.471015433629158e-13,5.271060315343285e-05,4.703255665534128e-08,5.271060315343285e-05,4.5322762220167295e-12
6,NC,2.924807858698278e-16,6.760203381553341e-85,1.7570756957848638e-21,6.760203381553341e-85,2.763452755597552e-56
7,RF,0.8225818204725996,0.18848458600747398,0.28946304635585096,0.18848458600747398,0.7505323171761696
8,XGB,2.8070052695848737e-40,2.998567888155522e-20,8.114828338723037e-34,2.998567888155522e-20,7.309010888310728e-35
