,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,1.0309783191484921e-07,3.415120378846075e-19,4.2426327826272843e-16,3.415120378846075e-19,1.387215411550081e-17
2,DT,7.494773549463995e-09,1.8090621145269918e-18,1.4372416490239484e-11,1.8090621145269918e-18,3.368828180619793e-13
3,GNB,3.398020616332433e-09,1.0218097455014946e-45,9.306845046209842e-16,1.0218097455014946e-45,3.488192452350982e-36
4,KNN,0.0004412316388087151,1.6117842660637334e-09,0.001179077717644341,1.6117842660637334e-09,0.00015195567144181952
5,NC,2.5536176517983793e-38,2.3456476755556227e-84,8.516607484921982e-45,2.3456476755556227e-84,1.175805197253306e-72
6,RF,2.7498421849662412e-15,5.078085529426096e-09,3.6918527590491668e-09,5.078085529426096e-09,1.6668081679855122e-12
7,SVC,7.471015433629158e-13,5.271060315343285e-05,4.703255665534128e-08,5.271060315343285e-05,4.5322762220167295e-12
8,XGB,1.23766250158154e-19,3.178521072279069e-12,1.1850335434370748e-14,3.178521072279069e-12,2.7187259855427133e-16
