,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,DT,0.0016242981568940983,3.730151419895054e-06,4.233762914706835e-09,3.730151419895054e-06,2.0749296158316855e-08
2,GNB,0.696556517665722,4.994819145140616e-05,0.0012705224877735436,4.994819145140616e-05,0.0074540583033834516
3,KNN,0.1219017516100122,0.0002248013465833974,9.024151523536852e-06,0.0002248013465833974,1.2422969602999517e-06
4,MLP,1.0309783191484921e-07,3.415120378846075e-19,4.2426327826272843e-16,3.415120378846075e-19,1.387215411550081e-17
5,NC,9.223470700523733e-10,8.275051933960539e-24,0.004486209759983259,8.275051933960539e-24,4.876043859545348e-13
6,RF,0.5739047318179967,3.853423746801859e-14,3.414212782537056e-10,3.853423746801859e-14,4.095719013803392e-09
7,SVC,0.7221927397212897,8.96982430963412e-09,0.0073582866914758994,8.96982430963412e-09,0.0021476466950033275
8,XGB,6.342567045642186e-33,1.5613019920421083e-39,8.888224788535763e-42,1.5613019920421083e-39,3.4880526651381124e-43
