,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,9.223470700523733e-10,8.275051933960539e-24,0.004486209759983259,8.275051933960539e-24,4.876043859545348e-13
2,DT,3.6670244990195676e-22,4.437565970085023e-46,9.993827293396823e-20,4.437565970085023e-46,2.5946837878505055e-37
3,GNB,1.3278456042695312e-24,4.1570592556594797e-23,5.513763097839614e-31,4.1570592556594797e-23,2.573735745659012e-18
4,KNN,5.506396686130268e-32,2.1234449168233941e-69,1.734427941102878e-36,2.1234449168233941e-69,1.2440671833010963e-62
5,MLP,2.5536176517983793e-38,2.3456476755556227e-84,8.516607484921982e-45,2.3456476755556227e-84,1.175805197253306e-72
6,RF,6.463799947530311e-18,1.1041431205314926e-74,5.7132176639163686e-33,1.1041431205314926e-74,6.767077138079038e-58
7,SVC,2.924807858698278e-16,6.760203381553341e-85,1.7570756957848638e-21,6.760203381553341e-85,2.763452755597552e-56
8,XGB,1.0482705883312962e-61,3.8672452498363055e-90,3.3175706503062875e-66,3.8672452498363055e-90,4.106685628351772e-87
