,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,6.342567045642186e-33,1.5613019920421083e-39,8.888224788535763e-42,1.5613019920421083e-39,3.4880526651381124e-43
2,DT,2.8992894591215553e-54,3.1995302956250527e-60,2.093521311808698e-53,3.1995302956250527e-60,2.704867631391714e-61
3,GNB,5.075262228296292e-41,1.2872118696648379e-72,1.6006654266861948e-45,1.2872118696648379e-72,3.32841184979017e-69
4,KNN,1.169910382438093e-31,7.792417846817283e-29,5.750798794845052e-26,7.792417846817283e-29,3.909392417218249e-28
5,MLP,1.23766250158154e-19,3.178521072279069e-12,1.1850335434370748e-14,3.178521072279069e-12,2.7187259855427133e-16
6,NC,1.0482705883312962e-61,3.8672452498363055e-90,3.3175706503062875e-66,3.8672452498363055e-90,4.106685628351772e-87
7,RF,2.975168830735169e-56,3.871041874605509e-37,7.882261108171266e-46,3.871041874605509e-37,9.944676877397697e-51
8,SVC,2.8070052695848737e-40,2.998567888155522e-20,8.114828338723037e-34,2.998567888155522e-20,7.309010888310728e-35
