,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,0.5739047318179967,3.853423746801859e-14,3.414212782537056e-10,3.853423746801859e-14,4.095719013803392e-09
2,DT,0.13378395144501648,1.7038931148855992e-09,0.001019673376673585,1.7038931148855992e-09,0.0252225256096321
3,GNB,0.8556884430683204,1.624071265402483e-37,2.6032266939887096e-05,1.624071265402483e-37,1.4428982950186066e-23
4,KNN,3.5661508044241895e-06,0.6882269788042743,0.015019106985741756,0.6882269788042743,0.0007378250970202828
5,MLP,2.7498421849662412e-15,5.078085529426096e-09,3.6918527590491668e-09,5.078085529426096e-09,1.6668081679855122e-12
6,NC,6.463799947530311e-18,1.1041431205314926e-74,5.7132176639163686e-33,1.1041431205314926e-74,6.767077138079038e-58
7,SVC,0.8225818204725996,0.18848458600747398,0.28946304635585096,0.18848458600747398,0.7505323171761696
8,XGB,2.975168830735169e-56,3.871041874605509e-37,7.882261108171266e-46,3.871041874605509e-37,9.944676877397697e-51
