,Algorithm,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,F1 p-value
1,AB,0.0016242981568940983,3.730151419895054e-06,4.233762914706835e-09,3.730151419895054e-06,2.0749296158316855e-08
2,GNB,0.22513162919561092,2.1296371258362555e-12,0.36240269956568305,2.1296371258362555e-12,4.836483415575453e-10
3,KNN,0.5924077270206085,0.029814171912255317,0.02673402778415656,0.029814171912255317,0.02251877562382913
4,MLP,7.494773549463995e-09,1.8090621145269918e-18,1.4372416490239484e-11,1.8090621145269918e-18,3.368828180619793e-13
5,NC,3.6670244990195676e-22,4.437565970085023e-46,9.993827293396823e-20,4.437565970085023e-46,2.5946837878505055e-37
6,RF,0.13378395144501648,1.7038931148855992e-09,0.001019673376673585,1.7038931148855992e-09,0.0252225256096321
7,SVC,0.1176940149494117,2.487065488955576e-06,0.7533049373726503,2.487065488955576e-06,0.4258757791696579
8,XGB,2.8992894591215553e-54,3.1995302956250527e-60,2.093521311808698e-53,3.1995302956250527e-60,2.704867631391714e-61
