,Algorithm,AUC,AUC +/-,Accuracy,Accuracy +/-,Precision,Precision +/-,Recall,Recall +/-,F1,F1 +/-
1,DT,0.8895018149121411,0.09635286826450783,0.899309130366557,0.08492490818317808,0.9022534798265035,0.0846385256902291,0.899309130366557,0.08492490818317808,0.8975658136657232,0.08692674348930822
2,RF,0.8872866360692448,0.13410386412185482,0.9038765906571633,0.10641860223214351,0.9043265751881077,0.11053802434252422,0.9038765906571633,0.10641860223214351,0.899317082988022,0.11435586859602591
3,SVC,0.8855891654641654,0.12018501422409172,0.904768084455819,0.09551103223715453,0.9083503801471379,0.09572627050201599,0.904768084455819,0.09551103223715453,0.9000888997367429,0.10193042738560941
4,KNN,0.8829957695283783,0.12993506767316026,0.8936322440842192,0.11367687267235001,0.8951657209628625,0.1152964495866766,0.8936322440842192,0.11367687267235001,0.8924269159978229,0.11528256144875997
