,Algorithm,AUC 1st,AUC 2nd,AUC 3rd,Accuracy 1st,Accuracy 2nd,Accuracy 3rd,Precision 1st,Precision 2nd,Precision 3rd,Recall 1st,Recall 2nd,Recall 3rd,F1 1st,F1 2nd,F1 3rd
1,XGB,15,14,19,18,12,15,21,8,13,18,12,15,20,12,16
2,SVC,13,7,5,15,8,7,9,13,4,15,8,7,13,9,3
3,GNB,10,6,5,5,3,6,8,5,7,5,3,6,8,2,5
4,AB,8,10,5,8,9,3,7,10,3,8,9,3,9,10,4
5,MLP,8,7,17,10,9,17,8,5,20,10,9,17,8,9,17
6,KNN,6,8,7,6,7,8,6,8,9,6,7,8,7,7,10
7,NC,5,5,2,1,2,0,6,3,3,1,2,0,2,3,2
8,DT,3,8,4,4,8,3,3,8,3,4,8,3,1,11,3
9,RF,1,4,5,2,11,10,1,9,7,2,11,10,1,6,9
